ID	AB	SampleType	Plate	Generation	Treatment	SampleNumber	GenTreat	TypeGenTreat
G1F1C11	A	Gut	G1	F1	CD	11	F1CD	GF1CD
G1F1C12	A	Gut	G1	F1	CD	12	F1CD	GF1CD
G1F1C13	A	Gut	G1	F1	CD	13	F1CD	GF1CD
G1F1C14	A	Gut	G1	F1	CD	14	F1CD	GF1CD
G1F1C15	A	Gut	G1	F1	CD	15	F1CD	GF1CD
G1F1C2	A	Gut	G1	F1	CD	2	F1CD	GF1CD
G1F1C3	A	Gut	G1	F1	CD	3	F1CD	GF1CD
G1F1C4	A	Gut	G1	F1	CD	4	F1CD	GF1CD
G1F1C5	A	Gut	G1	F1	CD	5	F1CD	GF1CD
G1F1C6	A	Gut	G1	F1	CD	6	F1CD	GF1CD
G1F1C7	A	Gut	G1	F1	CD	7	F1CD	GF1CD
G1F1C8	A	Gut	G1	F1	CD	8	F1CD	GF1CD
G1F1C9	A	Gut	G1	F1	CD	9	F1CD	GF1CD
G1F1H1	A	Gut	G1	F1	HSD	1	F1HSD	GF1HSD
G1F1H10	A	Gut	G1	F1	HSD	10	F1HSD	GF1HSD
G1F1H11	A	Gut	G1	F1	HSD	11	F1HSD	GF1HSD
G1F1H12	A	Gut	G1	F1	HSD	12	F1HSD	GF1HSD
G1F1H13	A	Gut	G1	F1	HSD	13	F1HSD	GF1HSD
G1F1H14	A	Gut	G1	F1	HSD	14	F1HSD	GF1HSD
G1F1H15	A	Gut	G1	F1	HSD	15	F1HSD	GF1HSD
G1F1H2	A	Gut	G1	F1	HSD	2	F1HSD	GF1HSD
G1F1H3	A	Gut	G1	F1	HSD	3	F1HSD	GF1HSD
G1F1H4	A	Gut	G1	F1	HSD	4	F1HSD	GF1HSD
G1F1H5	A	Gut	G1	F1	HSD	5	F1HSD	GF1HSD
G1F1H6	A	Gut	G1	F1	HSD	6	F1HSD	GF1HSD
G1F1H7	A	Gut	G1	F1	HSD	7	F1HSD	GF1HSD
G1F1H8	A	Gut	G1	F1	HSD	8	F1HSD	GF1HSD
G1F1H9	A	Gut	G1	F1	HSD	9	F1HSD	GF1HSD
G1F1N1	A	Gut	G1	F1	NSD	1	F1NSD	GF1NSD
G1F1N10	A	Gut	G1	F1	NSD	10	F1NSD	GF1NSD
G1F1N11	A	Gut	G1	F1	NSD	11	F1NSD	GF1NSD
G1F1N12	A	Gut	G1	F1	NSD	12	F1NSD	GF1NSD
G1F1N13	A	Gut	G1	F1	NSD	13	F1NSD	GF1NSD
G1F1N14	A	Gut	G1	F1	NSD	14	F1NSD	GF1NSD
G1F1N15	A	Gut	G1	F1	NSD	15	F1NSD	GF1NSD
G1F1N2	A	Gut	G1	F1	NSD	2	F1NSD	GF1NSD
G1F1N3	A	Gut	G1	F1	NSD	3	F1NSD	GF1NSD
G1F1N4	A	Gut	G1	F1	NSD	4	F1NSD	GF1NSD
G1F1N5	A	Gut	G1	F1	NSD	5	F1NSD	GF1NSD
G1F1N6	A	Gut	G1	F1	NSD	6	F1NSD	GF1NSD
G1F1N7	A	Gut	G1	F1	NSD	7	F1NSD	GF1NSD
G1F1N8	A	Gut	G1	F1	NSD	8	F1NSD	GF1NSD
G1F1N9	A	Gut	G1	F1	NSD	9	F1NSD	GF1NSD
G2F2C1	A	Gut	G2	F2	CD	1	F2CD	GF2CD
G2F2C10	A	Gut	G2	F2	CD	10	F2CD	GF2CD
G2F2C11	A	Gut	G2	F2	CD	11	F2CD	GF2CD
G2F2C12	A	Gut	G2	F2	CD	12	F2CD	GF2CD
G2F2C13	A	Gut	G2	F2	CD	13	F2CD	GF2CD
G2F2C14	A	Gut	G2	F2	CD	14	F2CD	GF2CD
G2F2C15	A	Gut	G2	F2	CD	15	F2CD	GF2CD
G2F2C2	A	Gut	G2	F2	CD	2	F2CD	GF2CD
G2F2C3	A	Gut	G2	F2	CD	3	F2CD	GF2CD
G2F2C4	A	Gut	G2	F2	CD	4	F2CD	GF2CD
G2F2C5	A	Gut	G2	F2	CD	5	F2CD	GF2CD
G2F2C6	A	Gut	G2	F2	CD	6	F2CD	GF2CD
G2F2C7	A	Gut	G2	F2	CD	7	F2CD	GF2CD
G2F2C8	A	Gut	G2	F2	CD	8	F2CD	GF2CD
G2F2C9	A	Gut	G2	F2	CD	9	F2CD	GF2CD
G2F2H1	A	Gut	G2	F2	HSD	1	F2HSD	GF2HSD
G2F2H10	A	Gut	G2	F2	HSD	10	F2HSD	GF2HSD
G2F2H11	A	Gut	G2	F2	HSD	11	F2HSD	GF2HSD
G2F2H12	A	Gut	G2	F2	HSD	12	F2HSD	GF2HSD
G2F2H13	A	Gut	G2	F2	HSD	13	F2HSD	GF2HSD
G2F2H14	A	Gut	G2	F2	HSD	14	F2HSD	GF2HSD
G2F2H15	A	Gut	G2	F2	HSD	15	F2HSD	GF2HSD
G2F2H2	A	Gut	G2	F2	HSD	2	F2HSD	GF2HSD
G2F2H3	A	Gut	G2	F2	HSD	3	F2HSD	GF2HSD
G2F2H4	A	Gut	G2	F2	HSD	4	F2HSD	GF2HSD
G2F2H5	A	Gut	G2	F2	HSD	5	F2HSD	GF2HSD
G2F2H6	A	Gut	G2	F2	HSD	6	F2HSD	GF2HSD
G2F2H7	A	Gut	G2	F2	HSD	7	F2HSD	GF2HSD
G2F2H8	A	Gut	G2	F2	HSD	8	F2HSD	GF2HSD
G2F2H9	A	Gut	G2	F2	HSD	9	F2HSD	GF2HSD
G2F2N1	A	Gut	G2	F2	NSD	1	F2NSD	GF2NSD
G2F2N10	A	Gut	G2	F2	NSD	10	F2NSD	GF2NSD
G2F2N11	A	Gut	G2	F2	NSD	11	F2NSD	GF2NSD
G2F2N12	A	Gut	G2	F2	NSD	12	F2NSD	GF2NSD
G2F2N13	A	Gut	G2	F2	NSD	13	F2NSD	GF2NSD
G2F2N14	A	Gut	G2	F2	NSD	14	F2NSD	GF2NSD
G2F2N15	A	Gut	G2	F2	NSD	15	F2NSD	GF2NSD
G2F2N2	A	Gut	G2	F2	NSD	2	F2NSD	GF2NSD
G2F2N3	A	Gut	G2	F2	NSD	3	F2NSD	GF2NSD
G2F2N4	A	Gut	G2	F2	NSD	4	F2NSD	GF2NSD
G2F2N5	A	Gut	G2	F2	NSD	5	F2NSD	GF2NSD
G2F2N6	A	Gut	G2	F2	NSD	6	F2NSD	GF2NSD
G2F2N7	A	Gut	G2	F2	NSD	7	F2NSD	GF2NSD
G2F2N8	A	Gut	G2	F2	NSD	8	F2NSD	GF2NSD
G2F2N9	A	Gut	G2	F2	NSD	9	F2NSD	GF2NSD
G2F3C1	A	Gut	G2	F3	CD	1	F3CD	GF3CD
G2F3C10	A	Gut	G2	F3	CD	10	F3CD	GF3CD
G2F3C11	A	Gut	G2	F3	CD	11	F3CD	GF3CD
G2F3C12	A	Gut	G2	F3	CD	12	F3CD	GF3CD
G2F3C13	A	Gut	G2	F3	CD	13	F3CD	GF3CD
G2F3C14	A	Gut	G2	F3	CD	14	F3CD	GF3CD
G2F3C15	A	Gut	G2	F3	CD	15	F3CD	GF3CD
G2F3C2	A	Gut	G2	F3	CD	2	F3CD	GF3CD
G2F3C3	A	Gut	G2	F3	CD	3	F3CD	GF3CD
G2F3C4	A	Gut	G2	F3	CD	4	F3CD	GF3CD
G2F3C5	A	Gut	G2	F3	CD	5	F3CD	GF3CD
G2F3C6	A	Gut	G2	F3	CD	6	F3CD	GF3CD
G2F3C7	A	Gut	G2	F3	CD	7	F3CD	GF3CD
G2F3C8	A	Gut	G2	F3	CD	8	F3CD	GF3CD
G2F3C9	A	Gut	G2	F3	CD	9	F3CD	GF3CD
G2F3H1	A	Gut	G2	F3	HSD	1	F3HSD	GF3HSD
G2F3H10	A	Gut	G2	F3	HSD	10	F3HSD	GF3HSD
G2F3H11	A	Gut	G2	F3	HSD	11	F3HSD	GF3HSD
G2F3H12	A	Gut	G2	F3	HSD	12	F3HSD	GF3HSD
G2F3H13	A	Gut	G2	F3	HSD	13	F3HSD	GF3HSD
G2F3H14	A	Gut	G2	F3	HSD	14	F3HSD	GF3HSD
G2F3H15	A	Gut	G2	F3	HSD	15	F3HSD	GF3HSD
G2F3H2	A	Gut	G2	F3	HSD	2	F3HSD	GF3HSD
G2F3H3	A	Gut	G2	F3	HSD	3	F3HSD	GF3HSD
G2F3H4	A	Gut	G2	F3	HSD	4	F3HSD	GF3HSD
G2F3H5	A	Gut	G2	F3	HSD	5	F3HSD	GF3HSD
G2F3H6	A	Gut	G2	F3	HSD	6	F3HSD	GF3HSD
G2F3H7	A	Gut	G2	F3	HSD	7	F3HSD	GF3HSD
G2F3H8	A	Gut	G2	F3	HSD	8	F3HSD	GF3HSD
G2F3H9	A	Gut	G2	F3	HSD	9	F3HSD	GF3HSD
G2F3N1	A	Gut	G2	F3	NSD	1	F3NSD	GF3NSD
G2F3N10	A	Gut	G2	F3	NSD	10	F3NSD	GF3NSD
G2F3N11	A	Gut	G2	F3	NSD	11	F3NSD	GF3NSD
G2F3N12	A	Gut	G2	F3	NSD	12	F3NSD	GF3NSD
G2F3N13	A	Gut	G2	F3	NSD	13	F3NSD	GF3NSD
G2F3N14	A	Gut	G2	F3	NSD	14	F3NSD	GF3NSD
G2F3N15	A	Gut	G2	F3	NSD	15	F3NSD	GF3NSD
G2F3N2	A	Gut	G2	F3	NSD	2	F3NSD	GF3NSD
G2F3N3	A	Gut	G2	F3	NSD	3	F3NSD	GF3NSD
G2F3N4	A	Gut	G2	F3	NSD	4	F3NSD	GF3NSD
G2F3N5	A	Gut	G2	F3	NSD	5	F3NSD	GF3NSD
G2F3N6	A	Gut	G2	F3	NSD	6	F3NSD	GF3NSD
G2F3N7	A	Gut	G2	F3	NSD	7	F3NSD	GF3NSD
G2F3N8	A	Gut	G2	F3	NSD	8	F3NSD	GF3NSD
G2F3N9	A	Gut	G2	F3	NSD	9	F3NSD	GF3NSD
MF0C1	A	Media	M	F0	CD	1	F0CD	MF0CD
MF0C2	A	Media	M	F0	CD	2	F0CD	MF0CD
MF0C3	A	Media	M	F0	CD	3	F0CD	MF0CD
MF0C4	A	Media	M	F0	CD	4	F0CD	MF0CD
MF0C5	A	Media	M	F0	CD	5	F0CD	MF0CD
MF0C6	A	Media	M	F0	CD	6	F0CD	MF0CD
MF0C7	A	Media	M	F0	CD	7	F0CD	MF0CD
MF0C8	A	Media	M	F0	CD	8	F0CD	MF0CD
MF0H1	A	Media	M	F0	HSD	1	F0HSD	MF0HSD
MF0H2	A	Media	M	F0	HSD	2	F0HSD	MF0HSD
MF0H3	A	Media	M	F0	HSD	3	F0HSD	MF0HSD
MF0H4	A	Media	M	F0	HSD	4	F0HSD	MF0HSD
MF0H6	A	Media	M	F0	HSD	6	F0HSD	MF0HSD
MF0H7	A	Media	M	F0	HSD	7	F0HSD	MF0HSD
MF0H8	A	Media	M	F0	HSD	8	F0HSD	MF0HSD
MF0N1	A	Media	M	F0	NSD	1	F0NSD	MF0NSD
MF0N2	A	Media	M	F0	NSD	2	F0NSD	MF0NSD
MF0N3	A	Media	M	F0	NSD	3	F0NSD	MF0NSD
MF0N4	A	Media	M	F0	NSD	4	F0NSD	MF0NSD
MF0N5	A	Media	M	F0	NSD	5	F0NSD	MF0NSD
MF0N6	A	Media	M	F0	NSD	6	F0NSD	MF0NSD
MF0N7	A	Media	M	F0	NSD	7	F0NSD	MF0NSD
MF0N8	A	Media	M	F0	NSD	8	F0NSD	MF0NSD
MF1C1	A	Media	M	F1	CD	1	F1CD	MF1CD
MF1C2	A	Media	M	F1	CD	2	F1CD	MF1CD
MF1C3	A	Media	M	F1	CD	3	F1CD	MF1CD
MF1C4	A	Media	M	F1	CD	4	F1CD	MF1CD
MF1C5	A	Media	M	F1	CD	5	F1CD	MF1CD
MF1C6	A	Media	M	F1	CD	6	F1CD	MF1CD
MF1C7	A	Media	M	F1	CD	7	F1CD	MF1CD
MF1C8	A	Media	M	F1	CD	8	F1CD	MF1CD
MF1H1	A	Media	M	F1	HSD	1	F1HSD	MF1HSD
MF1H2	A	Media	M	F1	HSD	2	F1HSD	MF1HSD
MF1H3	A	Media	M	F1	HSD	3	F1HSD	MF1HSD
MF1H4	A	Media	M	F1	HSD	4	F1HSD	MF1HSD
MF1H5	A	Media	M	F1	HSD	5	F1HSD	MF1HSD
MF1H6	A	Media	M	F1	HSD	6	F1HSD	MF1HSD
MF1H7	A	Media	M	F1	HSD	7	F1HSD	MF1HSD
MF1H8	A	Media	M	F1	HSD	8	F1HSD	MF1HSD
MF1N1	A	Media	M	F1	NSD	1	F1NSD	MF1NSD
MF1N2	A	Media	M	F1	NSD	2	F1NSD	MF1NSD
MF1N3	A	Media	M	F1	NSD	3	F1NSD	MF1NSD
MF1N4	A	Media	M	F1	NSD	4	F1NSD	MF1NSD
MF1N5	A	Media	M	F1	NSD	5	F1NSD	MF1NSD
MF1N6	A	Media	M	F1	NSD	6	F1NSD	MF1NSD
MF1N7	A	Media	M	F1	NSD	7	F1NSD	MF1NSD
MF1N8	A	Media	M	F1	NSD	8	F1NSD	MF1NSD
MF2C1	A	Media	M	F2	CD	1	F2CD	MF2CD
MF2C2	A	Media	M	F2	CD	2	F2CD	MF2CD
MF2C3	A	Media	M	F2	CD	3	F2CD	MF2CD
MF2C4	A	Media	M	F2	CD	4	F2CD	MF2CD
MF2C5	A	Media	M	F2	CD	5	F2CD	MF2CD
MF2C6	A	Media	M	F2	CD	6	F2CD	MF2CD
MF2C7	A	Media	M	F2	CD	7	F2CD	MF2CD
MF2C8	A	Media	M	F2	CD	8	F2CD	MF2CD
MF2H1	A	Media	M	F2	HSD	1	F2HSD	MF2HSD
MF2H2	A	Media	M	F2	HSD	2	F2HSD	MF2HSD
MF2H3	A	Media	M	F2	HSD	3	F2HSD	MF2HSD
MF2H4	A	Media	M	F2	HSD	4	F2HSD	MF2HSD
MF2H5	A	Media	M	F2	HSD	5	F2HSD	MF2HSD
MF2H6	A	Media	M	F2	HSD	6	F2HSD	MF2HSD
MF2H7	A	Media	M	F2	HSD	7	F2HSD	MF2HSD
MF2H8	A	Media	M	F2	HSD	8	F2HSD	MF2HSD
MF2N1	A	Media	M	F2	NSD	1	F2NSD	MF2NSD
MF2N2	A	Media	M	F2	NSD	2	F2NSD	MF2NSD
MF2N3	A	Media	M	F2	NSD	3	F2NSD	MF2NSD
MF2N4	A	Media	M	F2	NSD	4	F2NSD	MF2NSD
MF2N5	A	Media	M	F2	NSD	5	F2NSD	MF2NSD
MF2N6	A	Media	M	F2	NSD	6	F2NSD	MF2NSD
MF2N7	A	Media	M	F2	NSD	7	F2NSD	MF2NSD
MF2N8	A	Media	M	F2	NSD	8	F2NSD	MF2NSD
MF3C1	A	Media	M	F3	CD	1	F3CD	MF3CD
MF3C2	A	Media	M	F3	CD	2	F3CD	MF3CD
MF3C3	A	Media	M	F3	CD	3	F3CD	MF3CD
MF3C4	A	Media	M	F3	CD	4	F3CD	MF3CD
MF3C5	A	Media	M	F3	CD	5	F3CD	MF3CD
MF3C6	A	Media	M	F3	CD	6	F3CD	MF3CD
MF3C7	A	Media	M	F3	CD	7	F3CD	MF3CD
MF3C8	A	Media	M	F3	CD	8	F3CD	MF3CD
MF3H1	A	Media	M	F3	HSD	1	F3HSD	MF3HSD
MF3H2	A	Media	M	F3	HSD	2	F3HSD	MF3HSD
MF3H3	A	Media	M	F3	HSD	3	F3HSD	MF3HSD
MF3H4	A	Media	M	F3	HSD	4	F3HSD	MF3HSD
MF3H5	A	Media	M	F3	HSD	5	F3HSD	MF3HSD
MF3H6	A	Media	M	F3	HSD	6	F3HSD	MF3HSD
MF3H7	A	Media	M	F3	HSD	7	F3HSD	MF3HSD
MF3H8	A	Media	M	F3	HSD	8	F3HSD	MF3HSD
MF3N1	A	Media	M	F3	NSD	1	F3NSD	MF3NSD
MF3N2	A	Media	M	F3	NSD	2	F3NSD	MF3NSD
MF3N3	A	Media	M	F3	NSD	3	F3NSD	MF3NSD
MF3N4	A	Media	M	F3	NSD	4	F3NSD	MF3NSD
MF3N5	A	Media	M	F3	NSD	5	F3NSD	MF3NSD
MF3N6	A	Media	M	F3	NSD	6	F3NSD	MF3NSD
MF3N7	A	Media	M	F3	NSD	7	F3NSD	MF3NSD
MF3N8	A	Media	M	F3	NSD	8	F3NSD	MF3NSD
MFH5	A	Media	M	F0	HSD	5	F0HSD	MF0HSD
G2F2H9B	B	Gut	G2	F2	HSD	9	F2HSD	GF2HSD
G2F2C15B	B	Gut	G2	F2	CD	15	F2CD	GF2CD
G1F0Blank3	B	Gut	G1	F0	Blank	3	F0B	GF0B
G1F0BlankB	B	Gut	G1	F0	Blank	B	F0B	GF0B
G1F0Blank	B	Gut	G1	F0	Blank	1	F0B	GF0B
G2EBBlank	B	Gut	G2	F0	Blank	EB	FOB	GF0B
G2F0Blank	B	Gut	G2	F0	Blank	1	FOB	GF0B
G2F1Blank	B	Gut	G2	F0	Blank	1	FOB	GF0B
G2F2C152	B	Gut	G2	F2	CD	15	F2CD	GF2CD
G2F2H92	B	Gut	G2	F2	HSD	9	F2HSD	GF2HSD
MF0H5	A	Media	M	F0	HSD	5	F0HSD	MF0H5
